Unnamed: 0,Unnamed: 1,Unnamed: 2,Date,Time,Lane,Speed,Length,Headway,Gap,Class,Occupancy,Vehicle Count,Headway_Mean,Headway_Mean_Hours,Q (veh/h),Speed Inverse,,,,,
,,,20240728,1559.8,3,94,4.44,25.9,25.71,2,170,23,28.21304348,0.007836957,127.6005548,0.010638298,,,,,
,,,20240728,1600.9,2,79,3.98,23.8,23.62,2,181,23,28.21304348,0.007836957,127.6005548,0.012658228,,,,,
,,,20240728,1612.6,3,63,3.9,12.8,12.63,2,222,23,28.21304348,0.007836957,127.6005548,0.015873016,,,,,
,,,20240728,1651.8,2,81,3.92,50.9,50.72,2,174,23,28.21304348,0.007836957,127.6005548,0.012345679,,,,,
,,,20240728,1657.6,2,85,1.66,5.8,5.63,1,70,23,28.21304348,0.007836957,127.6005548,0.011764706,,,,,
,,,20240728,1735.9,2,89,4,38.3,38.23,2,161,23,28.21304348,0.007836957,127.6005548,0.011235955,,,,,
,,,20240728,1751.3,3,61,4.72,98.7,98.48,2,278,23,28.21304348,0.007836957,127.6005548,0.016393443,,,,,
,,,20240728,1801.5,3,91,3.94,10.2,9.92,2,155,23,28.21304348,0.007836957,127.6005548,0.010989011,,,,,
,,,20240728,1832.8,3,70,3.97,31.3,31.14,2,204,23,28.21304348,0.007836957,127.6005548,0.014285714,,,,,
,,,20240728,1846.2,2,95,3.43,70.3,70.14,1,129,23,28.21304348,0.007836957,127.6005548,0.010526316,,,,,
,,,20240728,1852.5,3,71,1.96,19.7,19.5,1,99,23,28.21304348,0.007836957,127.6005548,0.014084507,,,,,
,,,20240728,1921.3,2,83,4.39,35.1,34.97,2,190,23,28.21304348,0.007836957,127.6005548,0.012048193,,,,,
,,,20240728,1922,3,77,4.48,29.5,29.4,2,209,23,28.21304348,0.007836957,127.6005548,0.012987013,,,,,
,,,20240728,1927.4,3,82,3.84,5.4,5.19,2,168,23,28.21304348,0.007836957,127.6005548,0.012195122,,,,,
,,,20240728,1933.8,3,67,3.95,6.4,6.23,2,212,23,28.21304348,0.007836957,127.6005548,0.014925373,,,,,
,,,20240728,1946.3,3,62,1.73,12.5,12.29,1,100,23,28.21304348,0.007836957,127.6005548,0.016129032,,,,,
,,,20240728,1949.1,3,83,4.46,2.8,2.7,2,193,23,28.21304348,0.007836957,127.6005548,0.012048193,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,20240728,2005.9,3,60,4.49,16.8,16.61,2,269,25,25.496,0.007082222,141.1986194,0.016666667,,,,,
,,,20240728,2007.1,2,106,5.05,45.8,45.61,2,171,25,25.496,0.007082222,141.1986194,0.009433962,,,,,
,,,20240728,2019.2,2,81,4.7,12.1,11.93,2,208,25,25.496,0.007082222,141.1986194,0.012345679,,,,,
,,,20240728,2023.9,2,82,3.79,4.7,4.49,2,166,25,25.496,0.007082222,141.1986194,0.012195122,,,,,
,,,20240728,2040.1,3,53,3.99,34.2,33.93,2,271,25,25.496,0.007082222,141.1986194,0.018867925,,,,,
,,,20240728,2043.7,2,74,4.13,19.8,19.63,2,200,25,25.496,0.007082222,141.1986194,0.013513514,,,,,
,,,20240728,2046.9,2,84,5.38,3.2,3,2,230,25,25.496,0.007082222,141.1986194,0.011904762,,,,,
,,,20240728,2118.5,3,82,4.26,38.4,38.13,2,187,25,25.496,0.007082222,141.1986194,0.012195122,,,,,
,,,20240728,2134.2,3,78,7.98,15.7,15.51,4,368,25,25.496,0.007082222,141.1986194,0.012820513,,,,,
,,,20240728,2136.4,2,83,3.87,49.5,49.27,2,167,25,25.496,0.007082222,141.1986194,0.012048193,,,,,
,,,20240728,2151.5,2,129,4.7,15.1,14.93,2,131,25,25.496,0.007082222,141.1986194,0.007751938,,,,,
,,,20240728,2155.2,3,83,4.59,21,20.63,2,199,25,25.496,0.007082222,141.1986194,0.012048193,,,,,
,,,20240728,2204.5,2,77,4.74,13,12.87,2,221,25,25.496,0.007082222,141.1986194,0.012987013,,,,,
,,,20240728,2223.2,3,99,4.41,28,27.8,1,160,25,25.496,0.007082222,141.1986194,0.01010101,,,,,
,,,20240728,2238.5,2,104,5,34,33.78,2,173,25,25.496,0.007082222,141.1986194,0.009615385,,,,,
,,,20240728,2252.7,3,70,4.74,29.5,29.34,2,243,25,25.496,0.007082222,141.1986194,0.014285714,,,,,
,,,20240728,2255.3,3,69,5.3,2.6,2.36,2,276,25,25.496,0.007082222,141.1986194,0.014492754,,,,,
,,,20240728,2302.1,2,71,4.03,23.6,23.43,2,204,25,25.496,0.007082222,141.1986194,0.014084507,,,,,
,,,20240728,2304.9,2,67,4.88,2.8,2.6,2,262,25,25.496,0.007082222,141.1986194,0.014925373,,,,,
,,,20240728,2341.6,3,66,4.57,46.3,46.02,2,249,25,25.496,0.007082222,141.1986194,0.015151515,,,,,
,,,20240728,2355.2,2,75,3.8,50.3,50.04,2,182,25,25.496,0.007082222,141.1986194,0.013333333,,,,,
,,,20240728,2434.4,3,65,3.82,52.8,52.55,2,211,25,25.496,0.007082222,141.1986194,0.015384615,,,,,
,,,20240728,2444.9,3,78,4.01,10.5,10.29,2,185,25,25.496,0.007082222,141.1986194,0.012820513,,,,,
,,,20240728,2452.5,3,67,5.12,7.6,7.41,2,275,25,25.496,0.007082222,141.1986194,0.014925373,,,,,
,,,20240728,2455.3,2,63,5.71,60.1,59.92,4,326,25,25.496,0.007082222,141.1986194,0.015873016,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,20240728,2510.4,2,101,6.34,15.1,14.77,2,225,17,33.18235294,0.00921732,108.4914022,0.00990099,,,,,
,,,20240728,2512.5,2,66,3.96,2.1,1.87,2,216,17,33.18235294,0.00921732,108.4914022,0.015151515,,,,,
,,,20240728,2527,2,78,4.47,14.5,14.28,2,206,17,33.18235294,0.00921732,108.4914022,0.012820513,,,,,
,,,20240728,2533.2,2,64,3.96,6.2,5.99,2,222,17,33.18235294,0.00921732,108.4914022,0.015625,,,,,
,,,20240728,2540.5,2,77,5.28,7.3,7.08,2,246,17,33.18235294,0.00921732,108.4914022,0.012987013,,,,,
,,,20240728,2558.7,2,108,4.63,18.2,17.95,2,154,17,33.18235294,0.00921732,108.4914022,0.009259259,,,,,
,,,20240728,2601.5,2,113,5.63,2.8,2.65,2,179,17,33.18235294,0.00921732,108.4914022,0.008849558,,,,,
,,,20240728,2610.9,3,68,1.14,78.4,78.12,1,60,17,33.18235294,0.00921732,108.4914022,0.014705882,,,,,
,,,20240728,2639.3,2,66,5.12,37.8,37.62,2,279,17,33.18235294,0.00921732,108.4914022,0.015151515,,,,,
,,,20240728,2651.6,2,99,4.65,12.3,12.02,4,169,17,33.18235294,0.00921732,108.4914022,0.01010101,,,,,
,,,20240728,2730.6,3,83,4.54,79.7,79.64,2,196,17,33.18235294,0.00921732,108.4914022,0.012048193,,,,,
,,,20240728,2737.1,2,76,3.94,45.5,45.33,2,186,17,33.18235294,0.00921732,108.4914022,0.013157895,,,,,
,,,20240728,2749.7,3,70,4.4,19.1,18.9,2,226,17,33.18235294,0.00921732,108.4914022,0.014285714,,,,,
,,,20240728,2843.3,3,60,3.99,53.6,53.37,2,239,17,33.18235294,0.00921732,108.4914022,0.016666667,,,,,
,,,20240728,2904.2,2,88,5.3,87.1,86.91,2,216,17,33.18235294,0.00921732,108.4914022,0.011363636,,,,,
,,,20240728,2913.8,2,82,5.54,9.6,9.38,2,243,17,33.18235294,0.00921732,108.4914022,0.012195122,,,,,
,,,20240728,2958.1,3,77,5.54,74.8,74.56,2,259,17,33.18235294,0.00921732,108.4914022,0.012987013,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,20240728,3020.5,2,83,3.84,66.7,66.46,2,166,20,28.95,0.008041667,124.3523316,0.012048193,,,,,
